,numberOfEpisodes,Finalization,originalTitle,startYear,endYear,runtimeMinutes,averageRating,numVotes,GenderMale,GenderFeMale,genre_action,genre_adult,genre_adventure,genre_animation,genre_biography,genre_comedy,genre_crime,genre_documentary,genre_drama,genre_family,genre_fantasy,genre_history,genre_horror,genre_musical,genre_mystery,genre_news,genre_romance,genre_sci-fi,genre_talk-show,genre_thriller,genre_war,genre_western,numberEpisodePrediction
101,11,0,Woops!,0.0714285714285694,0,0.28358208955223885,0.6551724137931034,7.033869578588902e-05,0.6000000000000001,0.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.0
102,71,0,Tenchi Muyô!,0.0714285714285694,0,0.28358208955223885,0.7586206896551724,0.0012750759321186688,0.4,0.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.0
103,13,0,Truckers,0.0714285714285694,0,0.0,0.7471264367816092,0.00011598401964694465,0.6000000000000001,0.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.0
104,13,0,Alaska Kid,0.1071428571428612,0,0.5820895522388059,0.7126436781609196,3.666591588838895e-05,0.8,0.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0
105,17,0,Bakersfield P.D.,0.1071428571428612,0,0.28358208955223885,0.8160919540229885,0.00017360188747155586,0.8,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0
106,11,0,Blanche,0.1071428571428612,0,0.7313432835820896,0.7126436781609196,9.129064772211129e-05,0.6000000000000001,0.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0
107,15,0,The Chevy Chase Show,0.1071428571428612,0,0.7313432835820896,0.19540229885057467,0.00012645999561505577,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.0
108,17,0,Class of '96,0.1071428571428612,0,0.7313432835820896,0.7011494252873562,9.952177169705574e-05,0.6000000000000001,0.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29.0
109,7,0,Danger Theatre,0.1071428571428612,0,0.28358208955223885,0.793103448275862,7.108697978361125e-05,0.8,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0
110,10,0,Family Dog,0.1071428571428612,0,0.28358208955223885,0.6551724137931034,0.0002865927711276116,0.6000000000000001,0.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.0
